	21
0	6
00	33
000	52
001	3
0011	1
00450	1
0080	1
01	25
012	4
02	19
028	1
0281	1
03	3
036474336	1
04	7
048	1
05	4
055	2
06	21
0643	1
07	10
08	22
081	2
088889774	1
09	21
1	68
10	44
100	19
100038	1
1016	1
103	1
107	1
108	1
11	15
114427	1
12	74
120	1
1200	2
122	1
123	3
123395	1
124	3
125	2
126	2
13	13
134	1
14	33
146907159	1
148415904	1
1488230796	1
149	1
15	25
150	1
1500	1
151	1
1517	1
16	5
161	1
1687	1
1689	1
17	19
18	18
1814	1
1848	1
1864	1
19	9
1928	1
1930	1
1932	1
1933	1
1934	1
1935	1
1936	1
1938	1
1941	1
1942	1
1944	1
1945	1
1947	1
1949	1
1953	1
1980	2
1990	2
1992	3
1997	3
1998	2
1999	10
2	82
20	20
200	3
2000	30
2001	29
2002	2
2003	19
2004	16
2005	3
201	2
2020	1
2086	1
209318	1
21	3
211075433222	2
212	3
213	1
2152	1
22	8
224	1
229	2
23	4
230	1
234	1
24	27
249	2
2497	1
25	4
250	1
2500	1
252050406	1
255326837	1
256	1
25711	2
2575	4
259	1
26	5
260	2
263	2
2666	1
27	6
27049	2
2753	1
28	10
2807	1
281	1
2868	1
29	10
29155	1
2963	1
299	1
3	36
30	20
300	9
3000	2
3011	1
306	2
31	4
312	1
3130	1
31615304791	1
32	12
321	1
3267	1
3300	1
33155	1
332	1
33282	1
33465	1
3359	1
33597	1
34	4
3404	1
3405	2
34357	1
345	1
34710	1
349	2
35	2
35615	1
35782	1
36	2
37	1
37159	2
375	1
38	5
39	5
392	2
39510	2
399	1
39934	2
4	35
40	9
4073	1
409055	1
41	1
415	4
418	4
419	1
420	1
422	4
423	2
43	2
431	1
436425795822	1
44	6
449	1
45	6
4500	2
46	2
47	2
474	1
4748	1
4887	1
49	1
499	2
5	34
50	15
500	8
5000	3
5022	1
51	1
512517	2
519	1
52	3
521	1
52109	1
52477	1
529	3
5290	2
54	4
54804	1
549	1
55	4
553	1
5555	2
56	1
560	1
57	1
58	1
584	1
59	2
599	1
6	24
60	6
600	1
602	1
609	1
61	2
6207	1
62163	1
62413	1
630	1
6396	1
64	1
642	1
645	2
64610	2
6484	1
66	1
6614102	1
67	2
674	1
6761	1
68	1
69	1
6902	1
69545	1
6992	2
7	32
70	1
700	3
703	1
706	2
71	1
713	6
7168	1
7247	1
7268	3
731	1
735670	1
7358	2
738	1
7394	1
74949	1
75	5
7517	1
7578	1
76	1
763	1
7675213911	1
77	1
77056	2
78	2
783019	1
783518	1
7877	6
789118270	1
793	1
8	28
80	5
800	3
802	1
8038	1
81	2
816	2
82	1
825854664	1
840	1
8434	1
847	1
8507	1
8561513507	1
869279893	1
87	3
877	3
878	1
8859	10
888	5
89	1
8901	1
8919	1
893	1
9	41
90	3
900	1
908	1
9100	1
92	1
9213	1
9237	1
925	2
928976257	1
9291	1
932	2
9381	1
94105	1
9434	2
944	1
9489	1
95	15
95394	1
96	1
96006681	1
9610	1
964	2
9643	2
965	1
97	1
973	2
98	1
982	1
986782	1
99	64
999	3
NA	2
a	543
ab	5
abidjan	2
ability	2
able	14
abn	1
about	52
above	11
absent	1
absenteeism	1
absolute	2
absolutely	1
absorb	1
abuse	2
abused	1
acce	1
accelerate	1
accelerated	1
accept	3
acceptable	1
